SurveyResponseId, SurveyFormID, SurveyResponseDateModified, SurveyResponseDateCreated, SurveyResponseIp, SurveyResponseCompleted, EmailAddress, RecipientId, TotalTime, QUESTION1, QUESTION2, QUESTION3, QUESTION4, QUESTION5, QUESTION6, QUESTION7, QUESTION8, QUESTION9, QUESTION10, QUESTION11, QUESTION12, QUESTION13, QUESTION14, QUESTION15, QUESTION16, QUESTION17, QUESTION18, QUESTION19, QUESTION20, QUESTION21, QUESTION22, QUESTION23, QUESTION24, QUESTION25, QUESTION26, QUESTION27, QUESTION28, QUESTION29, QUESTION30, QUESTION31, QUESTION32, QUESTION33, QUESTION34, QUESTION35, QUESTION36, QUESTION37, QUESTION38, QUESTION39, QUESTION40, QUESTION41, QUESTION42, QUESTION43, QUESTION44, QUESTION45, QUESTION46, QUESTION47, QUESTION48, QUESTION49, QUESTION50, QUESTION51, QUESTION52, QUESTION53, QUESTION54, QUESTION55, QUESTION56, QUESTION57, QUESTION58, QUESTION59, QUESTION60, QUESTION61, QUESTION62, QUESTION63, QUESTION64, QUESTION65, QUESTION66, QUESTION67, QUESTION68, QUESTION69, QUESTION70, QUESTION71, QUESTION72, QUESTION73, QUESTION74, QUESTION75, QUESTION76, QUESTION77, QUESTION78, QUESTION79, QUESTION80, QUESTION81, QUESTION82, QUESTION83, QUESTION84, QUESTION85, QUESTION86, QUESTION87, QUESTION88, QUESTION89, QUESTION90, QUESTION91, QUESTION92, QUESTION93, QUESTION94, QUESTION95, QUESTION96, QUESTION97, QUESTION98, QUESTION99, QUESTION100
"4195432648", "68489249", "2015-09-14T20:46:56+00:00", "2015-09-14T20:35:36+00:00", "190.223.54.21", "partial", "NULL", "", "680", "74204740_","NULL","NULL","NULL","NULL",
"4195453558", "68489249", "2015-09-14T20:56:45+00:00", "2015-09-14T20:27:06+00:00", "190.223.54.21", "partial", "NULL", "", "1779", "74204740_","NULL","NULL","NULL","NULL",
"4195521270", "68489249", "2015-09-14T21:30:59+00:00", "2015-09-14T21:17:41+00:00", "190.223.54.21", "partial", "NULL", "", "798", "718632_","10 - Totalmente la recomendaría_","NULL","NULL","NULL",
"4195629284", "68489249", "2015-09-14T22:37:00+00:00", "2015-09-14T22:23:26+00:00", "190.223.54.21", "partial", "NULL", "", "814", "42089123_","10 - Totalmente la recomendaría_","NULL","NULL","NULL",
"4195645935", "68489249", "2015-09-14T22:47:17+00:00", "2015-09-14T22:46:58+00:00", "190.223.54.21", "partial", "NULL", "", "18", "08085139_","NULL","NULL","NULL","NULL",
"4195656090", "68489249", "2015-09-14T22:53:54+00:00", "2015-09-14T20:47:29+00:00", "190.223.54.21", "partial", "NULL", "", "7585", "76023983_","NULL","NULL","NULL","NULL",
"4195656277", "68489249", "2015-09-14T22:54:01+00:00", "2015-09-14T20:49:46+00:00", "190.223.54.21", "partial", "NULL", "", "7455", "362285_","NULL","NULL","NULL","NULL",
"4195656529", "68489249", "2015-09-14T22:54:11+00:00", "2015-09-14T22:53:57+00:00", "190.223.54.21", "partial", "NULL", "", "14", "361073_","NULL","NULL","NULL","NULL",
"4195685313", "68489249", "2015-09-14T23:12:08+00:00", "2015-09-14T23:10:57+00:00", "190.116.36.28", "partial", "NULL", "", "71", "47057111_","7_","NULL","NULL","NULL",
"4195689977", "68489249", "2015-09-14T23:14:35+00:00", "2015-09-14T22:16:21+00:00", "190.223.54.21", "partial", "NULL", "", "3493", "40251710_","NULL","NULL","NULL","NULL",
"4195694325", "68489249", "2015-09-14T23:16:58+00:00", "2015-09-14T22:24:44+00:00", "190.223.54.21", "partial", "NULL", "", "3133", "47265527_","NULL","NULL","NULL","NULL",
"4195705393", "68489249", "2015-09-14T23:24:23+00:00", "2015-09-14T22:26:53+00:00", "190.223.54.21", "completed", "NULL", "", "3449", "47923402_","10 - Totalmente la recomendaría_","NULL","NULL","todo_",
